County_FIPS,County_Name,County_State,Hyperlink,Icon_Airports,Icon_Bridges,Icon_Demographics,Icon_Maritime,Icon_Railroad,Icon_Trips,State FIPS,State_Name,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,Number of business establishments,Number of resident workers,Number of resident workers who commute to work in other countie,Number of resident workers who commute within county,Number of resident workers who work at home,Number of residents,Number of workers from other counties who commute to work in th,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Percent of resident workers who commute by transit,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Total Docks,Total Marinas
51105,Lee County,"Lee County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,152,266,"7,440","1,945","4,030",135,"24,910","3,404",0.907895,0.092105,0.00336,0,68.4,0,Null,Null
51678,Lexington city,"Lexington city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,9,261,"2,105",617,"1,485",150,"7,035",617,0.888889,0.111111,0,0,Null,Null,Null,Null
51107,Loudoun County,"Loudoun County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,10,404,"10,605","191,980","78,127","94,150","13,885","362,435","97,536",0.982673,0.017327,0.036144,1,Null,Null,Null,Null
51109,Louisa County,"Louisa County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,93,581,"15,605","9,867","5,505",795,"34,350","10,096",0.967742,0.032258,0.008651,0,41.1,2.4,Null,Null
51111,Lunenburg County,"Lunenburg County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,89,176,"4,385","2,651","1,690",180,"12,450","2,713",0.921348,0.078652,0.005701,0,5.9,0,Null,Null
51680,Lynchburg city,"Lynchburg city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,89,"2,248","34,430","8,890","25,200",985,"78,755","9,228",0.932584,0.067416,0.031078,0,37.6,12.9,Null,Null
51113,Madison County,"Madison County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,79,269,"5,850","3,488","2,265",325,"13,120","3,598",0.987342,0.012658,0.004274,0,Null,Null,Null,Null
51683,Manassas city,"Manassas city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,2,12,"1,503","21,425","14,293","5,735",860,"41,150","15,657",1,0,0.034306,0,6.8,4.8,Null,Null
51685,Manassas Park city,"Manassas Park city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,1,327,"7,985","6,290",630,275,"15,825","7,350",1,0,0.065122,Null,1.4,1.4,Null,Null
51690,Martinsville city,"Martinsville city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,10,539,"5,285","2,752","2,300",155,"13,550","2,986",1,0,0.011353,0,5,0,Null,Null
51115,Mathews County,"Mathews County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,6,188,"4,030","2,485","1,505",280,"8,850","2,525",0.666667,0.333333,0.006203,0,Null,Null,0,0
51117,Mecklenburg County,"Mecklenburg County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,3,7,160,790,"12,225","2,337","8,840",420,"31,210","3,392",0.925,0.075,0,0,24.3,0,Null,Null
51119,Middlesex County,"Middlesex County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,2,9,324,"4,295","1,979","2,265",425,"10,730","2,027",0.777778,0.222222,0.005821,0,Null,Null,Null,Null
51121,Montgomery County,"Montgomery County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,5,195,"1,959","45,610","7,831","37,420","1,570","97,225","8,185",0.948718,0.051282,0.050099,0,68.5,0,Null,Null
51125,Nelson County,"Nelson County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,9,134,365,"6,615","3,159","3,385",490,"14,830","3,219",0.955224,0.044776,0.005291,0,50.6,21.5,Null,Null
51127,New Kent County,"New Kent County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,59,393,"10,070","7,813","2,195",515,"20,050","7,883",0.898305,0.101695,0.001986,0,24.8,13.1,0,0
